contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,spotPrice,fetchTime,midPrice,spread,spreadPct,marketPrice,daysToExpiry,timeToExpiry,moneyness,isITM,riskFreeRate
SPY260316P00520000,2026-03-09 18:50:51+00:00,520.0,0.11,0.03,0.04,0.0,0.0,66.0,338,0.6679720703125002,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.035,0.010000000000000002,0.28571428571428575,0.035,5,0.0136986301369863,0.7678903771880402,False,0.05
SPY260316P00525000,2026-03-10 18:07:23+00:00,525.0,0.03,0.03,0.04,-0.11,-78.57143,15.0,347,0.64648791015625,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.035,0.010000000000000002,0.28571428571428575,0.035,5,0.0136986301369863,0.775273938507156,False,0.05
SPY260316P00535000,2026-03-10 18:07:26+00:00,535.0,0.04,0.04,0.05,-0.12,-75.0,125.0,456,0.6171913281250001,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.045,0.010000000000000002,0.22222222222222227,0.045,5,0.0136986301369863,0.7900410611453875,False,0.05
SPY260316P00540000,2026-03-10 17:46:38+00:00,540.0,0.05,0.04,0.06,-0.14,-73.68421,28.0,657,0.6015664843750002,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.05,0.019999999999999997,0.3999999999999999,0.05,5,0.0136986301369863,0.7974246224645033,False,0.05
SPY260316P00545000,2026-03-09 19:39:15+00:00,545.0,0.2,0.05,0.06,0.0,0.0,6.0,285,0.5839885351562499,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.055,0.009999999999999995,0.18181818181818174,0.055,5,0.0136986301369863,0.8048081837836191,False,0.05
SPY260316P00550000,2026-03-10 19:16:13+00:00,550.0,0.06,0.06,0.07,-0.14,-70.0,123.0,348,0.5722699023437501,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.065,0.010000000000000009,0.15384615384615397,0.065,5,0.0136986301369863,0.8121917451027348,False,0.05
SPY260316P00555000,2026-03-10 19:43:09+00:00,555.0,0.09,0.06,0.07,-0.11,-55.0,6.0,427,0.5488326367187502,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.065,0.010000000000000009,0.15384615384615397,0.065,5,0.0136986301369863,0.8195753064218506,False,0.05
SPY260316P00560000,2026-03-10 19:55:47+00:00,560.0,0.08,0.07,0.08,-0.11,-57.894737,39.0,298,0.5351608984375,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.07500000000000001,0.009999999999999995,0.13333333333333325,0.07500000000000001,5,0.0136986301369863,0.8269588677409664,False,0.05
SPY260316P00565000,2026-03-10 20:14:50+00:00,565.0,0.08,0.08,0.09,-0.16,-66.66667,93.0,244,0.5195360546875,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.08499999999999999,0.009999999999999995,0.11764705882352937,0.08499999999999999,5,0.0136986301369863,0.8343424290600822,False,0.05
SPY260316P00570000,2026-03-10 19:01:17+00:00,570.0,0.1,0.08,0.1,-0.20000002,-66.66667,6.0,1181,0.500005,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.09,0.020000000000000004,0.22222222222222227,0.09,5,0.0136986301369863,0.8417259903791979,False,0.05
SPY260316P00575000,2026-03-10 17:59:53+00:00,575.0,0.09,0.09,0.1,-0.22,-70.96774,91.0,714,0.483403603515625,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.095,0.010000000000000009,0.10526315789473693,0.095,5,0.0136986301369863,0.8491095516983137,False,0.05
SPY260316P00580000,2026-03-10 19:57:07+00:00,580.0,0.12,0.1,0.11,-0.18,-59.999996,75.0,1434,0.465825654296875,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.10500000000000001,0.009999999999999995,0.09523809523809518,0.10500000000000001,5,0.0136986301369863,0.8564931130174295,False,0.05
SPY260316P00585000,2026-03-10 20:07:53+00:00,585.0,0.11,0.11,0.12,-0.26999998,-71.05263,77.0,948,0.4482477050781249,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.11499999999999999,0.009999999999999995,0.0869565217391304,0.11499999999999999,5,0.0136986301369863,0.8638766743365452,False,0.05
SPY260316P00590000,2026-03-10 20:04:14+00:00,590.0,0.14,0.12,0.14,-0.19000001,-57.57576,591.0,767,0.4335994140625,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.13,0.020000000000000018,0.15384615384615397,0.13,5,0.0136986301369863,0.871260235655661,False,0.05
SPY260316P00595000,2026-03-10 19:53:06+00:00,595.0,0.19,0.14,0.15,-0.22999999,-54.7619,421.0,741,0.4135800830078124,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.14500000000000002,0.009999999999999981,0.06896551724137917,0.14500000000000002,5,0.0136986301369863,0.8786437969747768,False,0.05
SPY260316P00600000,2026-03-10 20:13:22+00:00,600.0,0.17,0.16,0.17,-0.23,-57.5,95.0,2617,0.39649041015625,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.165,0.010000000000000009,0.060606060606060656,0.165,5,0.0136986301369863,0.8860273582938926,False,0.05
SPY260316P00605000,2026-03-10 20:14:13+00:00,605.0,0.2,0.18,0.2,-0.23,-53.488373,2359.0,585,0.3818421191406249,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.19,0.020000000000000018,0.10526315789473693,0.19,5,0.0136986301369863,0.8934109196130083,False,0.05
SPY260316P00610000,2026-03-10 20:14:45+00:00,610.0,0.22,0.21,0.22,-0.24000001,-52.173912,4976.0,6570,0.3627993408203125,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.215,0.010000000000000009,0.046511627906976785,0.215,5,0.0136986301369863,0.9007944809321241,False,0.05
SPY260316P00615000,2026-03-10 20:06:51+00:00,615.0,0.27,0.25,0.26,-0.27,-50.0,506.0,1394,0.3469303588867187,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.255,0.010000000000000009,0.03921568627450984,0.255,5,0.0136986301369863,0.9081780422512399,False,0.05
SPY260316P00620000,2026-03-10 20:07:49+00:00,620.0,0.31,0.29,0.3,-0.29000002,-48.333336,339.0,1291,0.3295965478515624,False,REGULAR,USD,put,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.295,0.010000000000000009,0.0338983050847458,0.295,5,0.0136986301369863,0.9155616035703557,False,0.05
